Judul Video,Akun Komentar,Komentar,Likes,Waktu Komentar;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@ManilaCare-x9k,Guru gembul,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@familyfuny21,""Dan ternyata di penjaruy si resbob main bos bos an lagi 🤣 kyk di film"""""",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@aashisensei,Gak bahas banjir om???,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@SantriAgroTV,""Aku kecewa sih om ded undang manusia satu ini, menurutku sama aja, seneng banget dia di kasih panggung taik"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@MiharjaAja-w8x,Adenya juga sama kayanya cuman mau naikin retingnya doang.,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@gellltzyyy,liat di mnit 7:58 terlalu nge jelek’ in bgt si jdi gitu kan😭😭😭😭,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@SaungkangMus,35:34 ngga belajar dari bapak nya,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@KABITAwifi,""Letnan, stop bahas kata sumatra . nanti dicabut jabatan nya😂 bahas jirayut aja😂"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@bellowoktavian,Jadi inget ANIMASI TEKOTOK EPISODE (BEBAN KELUARGA) kok mirip ya jadinya 😅😅😅,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@ivanoctovian1,""Pinter anda om Ded,,,,,dari tatapan anda terlihat ga percaya omongan Bigmo juga...ga jauh beda sama Resbob npd,,,,ditambah previl koruptor .....bahaya nih klo jadi anggota dewan"",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@NenengSadiah-w4y,""BIGMO YG DULU BIKIN BINTANG EMON PERGI SEBELUM PODCAST SELESAI KRN SIKAP BIGMO..BIGMO SM RESMOD ADA BEDA NYA GA ? SILAHKAN TONTON BINTANG EMON DIUNDANG BIGMO DALAM PODCAST NYA..SILAHKAN NILAI😊SILAHKAN JG TONTON BIGMO DIUNDANG DIPODCAST DENSU. DI SITU SI BIGMO KLARIFIKASI BAHWA DIA HANYA """"AKTING"""" TERIAK² DEPAN BINTANG EMON & PADA SAAT ITU TIDAK SOPAN BIGMO REBUT HP BINTANG EMON..AKHIR NYA KRN BETE KESAL BINTANG EMON PERGI. PADAHAL PODCAST BLM SELESAI..YAA 11-12 KARAKTER & MENTAL GA MERASA SALAH..ANGKUH..GA SANTUN😢😢😢"",2,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@HamaFams,Jujur sakit,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@GabutoIogi,Make ni orang,1,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@rezafahlevi1561,""banyak orang yang kayak gitu om ded , batu , butuh pengakuan kalo dia paling hebat itulah bibit2 yang bakal jadi peremanisme .. bigmo it benci sama abangnya , tp gak bisa bilang karna jaga nama baik keluarganya"",8,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@methamauraazhari8344,""sumpah aku pernah ngikutin banget live mereka, tapi ini beneran dia lagi ngobrolin dia sendiri, jatohin kakanya demi reputasi dia naik, makanya emaknya sarkas ngechat dia, kalo gasalah dulu dia pernah minta temen temennya sama kakaknya emaknya untuk gimmick yang seperti ngata ngatain gitu. SKIP BANGET KONTEN TIDAK BEREDUKASI INI:("",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@liliskarang1434,""jangan korupsi ya gaes,.. ini salah satu contoh ketidak berkahan"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@achmadchaqhidayatullahzain5469,mental anak dimanja ya gini.. sampe orang tuanya tetep ngebelain walaupun salah,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@Random24278,lu ngataiin orang sunda ini itu lah padahal kaka loe sendiri mencerminkan sifat buruk nya suku loe sendiri kocak aneh dan heran emang ada manusia kaya si resbob hidup nya malas  😂,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@naomiaronggear2014,""respect sama bigmo, tapi dengan podcast seperti ini jg ga baik menurut gua krna menjatuhkan sdra sendirii. It's ok bigmo kalau keluarga kalian ga baik' aja tapii percayalah yang akan kamu butuh suatu saat nanti ketika kamu susah itu cuman keluarga"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@NgawurAe-q7f,Yuukkk...gelondongan yuukk...,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@jokojoks5903,bikin podcast tentang sumatera dong .,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@ikyadryan7947,""Ade abang sama gila nya itu,, boleh ga gua jedotin itu ade nya😂😂😂"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@FP88888,BAHAS SUMATERA ... ehm ngga penting Resbob pengalihan isu,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@ericksanjaya25,kebanyakan izin bor,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@muhammadraffi9696,Ini adik nya juga ga beres tae..😂,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@dendiramadan2070,Suara nya berat banget njir,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@GIE75,pengalihan isu,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@NgawurAe-q7f,""Om ded ko ga pnya taring skrang,,udah di kebiri y,,";
"Densu 👍"",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@Medailyme,""Suka bigmo, tapi jangan nyaleg bejir"",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@UbeRezpect,""Sudah jatuh tertimpa panci, tau sikon dulu lah mo jangan terlalu di umbar...";
"Niat lu baik supaya dia berubah, tapi ga harus berlebihan juga."",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@mroongg,""Kapan mau bahas di podcast ini tentang bencana alam di Sumatera om deddy,masalah lahan sawit yang mau ditambah lagi di tanah papua?"",12,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@DikiAyesha,""Tapi si bigmo juga kata gw dia terlalu mengandalkan viralnya gara2 si resbob deh, terus dia orangnya ga sopan lagi ke om ded aja bilang ded, dasar bocil so kaya 😂"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@MAJA-qx5hc,Kos anu nya si eta ngahuntu,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@rafiknaufal9090,Undang WALHI bahas bencana Sumatra berani ga,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@ninah2490,Seriuss orang kaya resbob masih buanyakk di lingkungan gw,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@tarzasetiawan,""Halah dia juga sama aja sama kaka nya, coba aja lihat video video dia ada video yg membahas suku sunda ...kaka adik emang gk ada bedanya"",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@KIRIKU_,""bigmo nyaleg DPR? menyuarakan aspirasi rakyat? ngga yakin gua..😅..kalo naik senayan paling ya kaya yg udah udah.. cuan mengalir, rakyat nanti dulu"",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@mantrialvin82,""The next nunggu si Bismo masuk sel😂.... Orang kaya gini di kasih panggung, woiii 3 kali atau lebih menghina suku sunda, bigmoo lu bayar buzzer di semua media agar Abang lu di lepaskan ya... Welkom to the jungle semua lapas di Jabar siap menyambut kalian 😂"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@plentus96,11  12 sama kakaknya,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@mustikasari9389,""bener banget, di dunia ini ada banyak loh orang kaya resbob karena nemuin sendiri satu keluarga dan yg waras justru anak paling terakhir, sama persis kayak cerita janah"",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@RioPangestu-l9h,""Org pintar, org berpendidikan, org dng basic kecukupan, nenk moyang/org tua sukses. Maaf org spt itu bnyk, yg jarang ada itu org bijaksana. Semua basic ga ada guna, org pintar ga ada guna jika tdk ada BIJAKSANA. yg di cari itu org bijak. Bnyk keluarga pintar2, kaya, sukses tp NOL dng bijaksana.. Makanya yg namanya korupsi, KKN, dan org2 yg ber fikir spt keluarga resbob itu bnyk. Krn ga pny BijakSana"",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@HesamaRendy,""Ini ade yg lgi jatuhin kk nya demi popularitas.. Ibu mu dh ngajarin gmn caranya nanggung malu aib punya anak ky lu, lu malah malu punya kk model si resbob, malah di tikam bjir"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@ArjunSafa-g6m,om ded ngomong sama abg..😅,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@MochAgusmauludin,Buah jatuh tak jauh dari pohon nya😌,1,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@jnuarhusain291,sangat berapi api bigmo🤣🤣,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@bangimamnih23,Mantap,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@Ryugaxan,""Pas pertama liat bigmo live jujur saya tidak suka tapi setelah melihat cara dia berbicara serius, ternyata dia orangnya seru juga🎉"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@Oscarsss30,wkwkwk ujung2nya nyaleg,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@residivisblongkiri,BAHAS MUSIBAH SUMATERA DONG WOY!!!!,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@yassermax07,""Macam temen gue, super manipulative banget. Bahaya orang2 kaya gitu"",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@husensnugroho8097,""Yes """"Kadang untuk naikin derajat, tuhan bisa saja ngasih kita ujian dari orang terdekat kita"""""",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@stywa7229,🗿,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@unet13333,""MANA SELOGAN LO DULU OM????";
"DONT MAKE STUPID PEOPLE FAMOUS....!!!!"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@SyahrulHabibil,te adi te lancek sarua gede waduk,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@DaRameStudio,""lu juga sama aja mo, CUCI TANGAN LO? Jejak digital banyak tentang lo"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@alviensum14,BIG RESPECT JANNAHHH!!! 🫡🫡,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@ncexirfan1179,""bocah baru kemarin, sama yang tua bahasanya Udeh gue elo gue elo .. ";
"main2 sini bro k'parung... biar diajarin sopan santun"",1,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@maulanaKjy,""Nurutku yg dikatakan bigmo itu jujur dari hati, ada kekecewaan mendalam dikeluarga baik itu ke ibunya ataupun ke resbob"",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@Hypergaming-ytube,""Jangan nyaleg, masak uda di niatin mau korupsi dari sekarang  , titisan ortu pasti nurun"",1,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@muhammadrahman9165,""Om ded ngerokok yaa? Baru liat, biasanya ngepod doang"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@irfansuwandi8018,Karena statement kakak lu itu banyak bajingan yang memvalidasi omongan nya dia based on pure hate. Trus d banding2kan sama orang2 Jawa yang kuat di rasisin. Ini sakit se Indonesia!,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@anaksingkong389,Pria itu yg di pegang kata2 dan lu para pria harus bisa melihat orang ini bicara kaya orang ......ah udah lakh,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@winamuzdalifah5039,""Ddieu mh ciga nu enya budak teh loba nu ngadukung dikomen ge, ningalian video lain mh sarua na gening adi lancek teh gelona"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@wanskysetiawan4725,luar biasa,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@HaryatiBasriilo,Kayanya dia mau podcast nyari aman karna pengen nyaleg 😂,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@joyuriz_222,Sakik paja ko,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@irfansuwandi8018,""Kenapa kebejatan kakak lu dan lu jadi validasi suatu suku itu buruk perangai nya?";
"Orang mikir bos deket2 ma lu pada! Yang salah orang Sunda apa lu berdua?"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@Ncek278,Om ded udang dong,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@EttySari-b5h,Sering sering sedekah subuh kak,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@andifallahfirdaus7196,56:13 YTTA,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@shariefarafat7234,""emang kocak Abang lu bigmo ... pantasnya buat di pukulin rame"""" 😅"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@vyaleblanc,No way pasti korupsilah. Like father like son,1,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@anaksingkong389,Haaaa ngempatin Kaka nya dan dia lepas tangan padahal dia jga rasis,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@itonkputro6979,Gada liputan bencana Sumatera nich? Kek gini lo amplify ded ded.,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@andriidonk7270,Dia pernah bilang oknum pernah gw denger pas sma si resbob,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@apipmuzaki1500,om,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@MilaRahma-d2c,""Menurut gua ini sekenario ini orang kan sama ajah adik kaka . Jadi yang dibuat korban si risbob yang naik cuan adik nya .ini semacam sekenario filem di kemas dan yang di mainin publik . Wak wak wak ";
"Jabar hadir sunda ngahiji di usik pasti ngulisik ."",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@zxqwerty90,""katanya udh lost contact sama abang nya tpi masih bisa dapet """"penawaran korupsi"""" uang dari donasi Sumatra lu klo boong mbok ya dipikir lah alurnya"",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@StarGate960,""22nya sama ga benernya sih menurut gw";
;
Abangnya gak bener dari segi moral dan agama;
;
Adeknya banyak duit tapi akidahnya bermasalah;
;
Kalau tadi dia pakai standar jangan mendang-mending, harusnya bigmo konsekwen selama masih ngaku sebagai muslim bahwa sholat harga mati dibanding apapun;
;
Kecuali jika dalam kondisi kedaruratan yang diberikan rukshoh keringanan menurut agama;
;
"Yang dikhawatirkan adalah islamnya batal tanpa sadar ketika mengatakan """"sholat itu gak penting"""" atau """"gak praktikal"""" di ucap dengan penuh kesadaran tanpa paksaan";
;
Definisi sombong menurut agama itu ada pada dirinya;
;
"Istidraj itu berlaku"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@peoplepower4388,Dari cara lo ngomong sama om ded aja udah ketauan lo ga punya adab. Umur lo aja ga sampe setengah umurnya cil,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@akunkosong-j4m,izin,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@agathaaisyah9648,inima uchiha resbob,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@richardsgmendro1639,liat gaya ngomongnya ni beneran adeknya resmob....,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@taminalnufaisofficial4107,""Om ded maaf ya sebelumnya maaff bangt ,, om ded skrng kurusan ya 🥹"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@tisnasenjaya6706,Hmmmm dia teh kek sok asik,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@daliiki4225,gmana ya,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@ehhtomi9562,""Ded, bencana dimana mana, kenapa ga di bahas?"",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@cibo1097,""Percayalah, Bigmo ini bisa jauhhh lebih 'berbahaya' dibanding Resbob, apalagi kalo sampe jd wakil rakyat ..."",4,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@LasepediSaputra,usia berapa sih si adek nya 😂😂,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@peoplepower4388,""Sok2an ngomongin abang, padahal abang ade 11 12 sama2 toxic😮‍💨"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@edenafrizal5194,Tamu gak bermutu,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@tileivanka2292,ngapain yang beginian dikasih panggung.....,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@JunaediAlghiffari,Malah di kasih panggung,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@samuelellchrist,respect,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@Mestudio125,""om nasionalis kan? kenapa ga bahas sumatra aceh? biasanya update berita, kok ini nggak? CINTA NEGARA CINTARAKYAT kan? mana suaranya untuk sumatra?"",0,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@TaufikHidayat-ox3dl,DARI SEKIAN BANYAK PODCAST YANG GUA TONTON KAYAKNYA EPISOD INI OM DED NGERASA GA PERCAYA DIRI BUAT PERCAYA SAMA OMONGAN LAWANNYA. LEBIH KE NAMPUNG😂,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@SriYani-n9k5s,Anak koruptor d undang,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@mamakginting9084,I dont tell no lies😂😂😂 i tell no lies kali...katanya sekolah di amrik,1,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@rin.2833,Adek kakak sama aja sih,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@zoneee2929,Percayalab banyak buzzer,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@paryono7445,Cakep ada fiu kalau mau politik..tak dukung...,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@fahmisyam,😂nyari aman cieee,0,2025-12-18 00:00:00;
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@edwinchristian4828,""Orang mabok ";
"Orang tua nya aja di penjara"",1,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@ichanyakuza3410,""33:35 penjelasannya yaitu";
"“GOBLOK” 😂"",1,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@FirdiansyachRayagung,""kk nya lagi dikejar wartawan & dibenci orang2, sedangkan adik nya lg ngomongin/ngebongkar kelakukan kk nya😅 keren Cuci tangan yehhh😂"",4,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@TROBELID,""AYO OM TOLONG DI UP MASALAH SUMATRA ACEH.. ";
;
BERANI UNDANG NGGAK? ;
;
"KAN OM ORANG PEMERINTAH AN TOLONG DI UP MASYARAKAT ACEH SUMATRA SAMPAI SAAT INI KEKURANGAN BANTUAN AYO BENDERA PUTIH SUDAH BERKIBAR MALAH KE MASALAH YANG LAIN..."",0,2025-12-18 00:00:00";
"RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@idhoo444,""honestly baru kali ini gua denger podcast full, and bigmo ini streamer yg menurut gua bakal se overpower itu, ada added value yg jadi spotlight di dia, gmna dia bisa bawa entertain se fire ini, kalo anak muda bisa adaptable dari nonton stream dia, gua yakin bakal ada habit and impact his daily life"",1,2025-12-18 00:00:00";
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@trisnomono8218,Undang juga budidalton om,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@SufrialIyal,Ini anak cerdas... Jauh 180 derajat..ketimbang kakak nya... Public speaking nya keren cara pandang tentang bgaimana hidup yang sebenarnya..,0,2025-12-18 00:00:00;
RESBOB MAU SIKAT UANG DONASI SUMATERA😡 NIH GUE BONGKAR‼️- BIGMO,@Rahmattt9088,Entahlah gue liat bigmo resbob bersama keluarga nya kek bocah semua,16,2025-12-18 00:00:00;
