Judul Video,Akun Komentar,Komentar,Likes,Waktu Komentar;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ImamLatif21,""keliatan real";
" emosi banget Frimawan kwkwkw..."",0,2025-12-22 06:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@salwatulhusna3367,Terasa seperti nonton pasien RSJ yang saling emosi dan egonya masing-masing. Wkwkwkkwkwkwkwkk,1,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@AgungTci,Best episode 😂😂,0,2025-12-22 06:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@bimo161,""Dah bungkus aja bungkus 😂😂😂";
Ngakak parah 😂😂😂;
"Baru kali ini nonton in ni acara ikut2an emosi 😂😂😂"",0,2025-12-22 06:00:00";
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@prasetyokrisdyantoro6758,""Kukuh, frimawan, ust Felix, fajar. Oke juga nih."",0,2025-12-22 06:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@MelatiHanifahh,HAHAHHAHAHAHAH,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@lazypandda,rematch bang di kontennya kukuh,0,2025-12-22 06:00:00;
"KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@NILUHELVI,""Umur jagung cuma 110 hari atau sekitar 3 bulan";
"Bukan 1 tahun atau setengah tahun 😂😂😂"",0,2025-12-22 06:00:00";
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@semicolon917,wkwkkwkwkwkkw lucu bgt lg. rematch ga sih? kalo bisa durasi 1 jam awkkwkw,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@sriinjillia9341,😂😂😂,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@alesha_leung508,😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅😅😅😅😂😂😂,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@ikaaulianurrochmah9237,Aku lebih suka gini 🤣🤣🤣,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@sayidafdillah6842,undang Soleh solihun kyak nya seruu minn😅,1,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@nikenqurnia8146,Ngakak we sumpah😂,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@PribadiNur-w8y,Soimah dooong,0,2025-12-22 06:00:00;
KUKUH MINTA DIGAMPAR, LAWAN BERAT FRIMAWAN 🤣🤣🤣 - LOGICKAH,@willylukito6983,El classico,0,2025-12-22 06:00:00;
